<<<<<<< HEAD
Entessa Public License v1.0 (Entessa),,can,can, , , , can, , cannot, , , must, must, , can, , , , , , , , can, , , , cannot
Erlang Public License v1.1 (ErlPL-1.1),,can,can, , , must, can, must, cannot, must, , must, must, , can, , can, , , , must, , can, , , , cannot
European Union Public License 1.1 (EUPL-1.1),,can,can, , , must, can, , cannot, must, , must, , , can, , , can, , , must, , , , , , 
Facebook Terms of Service (Statement of Rights and Responsibilities),, , , , , , , , , , , , , , , , , , , , , , , , , , 
Fair License (Fair),, can, can, , , , can, , , , , must, , , can, , cannot, , , can, , , can, , , , 
Frameworx Open License 1.0 (Frameworx-1.0),, can, can, , , must, can, , cannot, , , must, must, , can, , , , , , , , , , , , 
Free Public License 1.0.0,, can, can, , , , can, , cannot, , , , , , can, , , can, , , , , can, , , , 
Functional Source License (FSL),must, cannot, can, , , , , , , must, , must, , , , , , , , , , , , , can, , 
GNU Affero General Public License v3 (AGPL-3.0),, can, can, , , must, can, , cannot, must, must, must, , , can, , can, , , , must, , cannot, , , , 
GNU Free Documentation License v1.3 (FDL-1.3),, , , , , , , , , , , , , , , , , , , , , , , , , , 
GNU General Public License v2.0 (GPL-2.0),,can,can, , , must, can, , cannot, must, , must, , must, can, , can, , , , must, , cannot, , , , 
GNU General Public License v3 (GPL-3),,can,can, , , must, can, , cannot, must, must, must, , must, can, , can, , , , must, , cannot, , , can, 
GNU LESSER GENERAL PUBLIC LICENSE,, , , , , , , , , , , , , , , , , , , , , , , , , , 
GNU Lesser General Public License v2.1 (LGPL-2.1),,can,can, , , must, can, , cannot, must, , must, must, must, can, , , , , , must, cannot, can, , , , 
GNU Lesser General Public License v3 (LGPL-3.0),,can,can, , , must, can, , cannot, must, must, must, , must, can, , can, , , , must, , cannot, , , can, 
Historic Permission Notice and Disclaimer (HPND),,can,can, , , , can, , cannot, , , must, must, , can, , , , , , , , can, , , , 
IBM PowerPC Initialization and Boot Software (IBM-pibs),,can,can, , , , can, , cannot, must, , must, , , can, , , , , , , , can, , , , 
IBM Public License 1.0 (IPL),,can,can, , , must, can, , cannot, , , must, , , can, , , , , , , , can, , , , cannot
IPA Font License (IPA),,can,can, , , , can, , cannot, , , must, , must, can, , , , , , , , , , , , cannot
ISC License,,can,can, , , , can, , cannot, must, , must, , , can, , , , , , , , , , , , 
Independent JPEG Group License (IJG),,can,can, must, must, , can, must, cannot, cannot, , must, must, , can, can, , must, , , , , can, , , cannot, cannot
Instagram Terms of Use,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Intel Open Source License (Intel),,can,can, , , , can, , cannot, , , must, , , can, , , , , , , , can, , , , 
LaTeX Project Public License v1.3c (LPPL-1.3c),,can,can, , , must, can, , cannot, must, , , , , can, , , , , , must, , can, , , , cannot
League of Legends Terms of Use,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Lucent Public License v1.02 (LPL-1.02),,can,can, , , , can, , cannot, , , must, , , can, , , , , , must, , can, , , , 
MIT License (Expat),,can,can, , , , can, , cannot, must, , must, , , can, , , can, , , , , can, , , , 
Microsoft Public License (Ms-PL),,can,can, , , , can, , cannot, must, , must, , , can, , , , , , , , can, , , , cannot
Microsoft Reciprocal License (Ms-RL),,can,can, , , must, can, , cannot, must, , must, , , can, , , , , , , , can, , , cannot, cannot
Minecraft End User Licence Agreement,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Minecraft End User License Agreement,, , , , , , , , , , , , , , , , , , , , , , , , , , 
MirOS License (MirOS),,can,can, , , , can, , cannot, , , must, , , can, , , , , , , , can, , , , 
Mozilla Public License 1.0 (MPL-1.0),,can,can, , , must, can, , cannot, must, , must, , , can, , can, , , , must, , can, , , , 
Mozilla Public License 1.1 (MPL-1.1),,can,can, , , must, can, must, cannot, must, , must, must, , can, , can, , , , must, , can, , , can, cannot
Mozilla Public License 2.0 (MPL-2.0),,can,can, , , must, can, , cannot, must, , must, , must, can, , can, , , , , , can, , , can, cannot
Multics License (Multics),,can,can, , , , can, , , , , must, , , can, , , , , , , , , , , , cannot
NASA Open Source Agreement 1.3 (NASA-1.3),,can,can, , , must, can, , cannot, must, , must, , , can, , can, , , , , , can, , , , cannot
NTP License (NTP),,can,can, , , , can, , cannot, , , must, , , can, , , , , , , , can, , , , cannot
Naumen Public License (Naumen),,can,can, , , , can, , cannot, must, , must, , , can, , , , , , must, , , , , , cannot
Nethack General Public License (NGPL),, , , , , must, can, , , must, , must, , , can, , can, , , , must, , cannot, , , , 
Netscape Public License v1.1 (NPL-1.1),,can,can, , , must, can, must, cannot, must, , must, must, , can, , can, , , , must, , can, , , , cannot
Nokia Open Source License (Nokia Open Source License),,can,can, , , must, can, must, cannot, must, , must, must, , can, , can, , , , must, , can, , , , cannot
Non-Profit Open Software License 3.0 (NPOSL-3.0),,can,can, , , must, can, , cannot, must, , must, , , can, , , , , , , , can, , , , cannot
OCLC Research Public License 2.0 (OCLC-2.0),,can,can, , , must, can, , cannot, , , must, , , can, , , , , , , , can, , , , cannot
ODC Open Database License (ODbL),,can,can, , , , can, , cannot, , , must, , must, can, , , can, , , , , cannot, , , , 
ODC Public Domain Dedication & License 1.0 (PDDL-1.0),,can,can, , , , can, , cannot, , , , , , can, , , , cannot, , , , cannot, , , , cannot
Open Group Test Suite License (OGTSL),,can,can, , , , can, , cannot, must, , , , must, can, , , , , , must, , , , , , cannot
Open Public License v1.0 (OPL-1.0),,can,can, , , must, can, must, cannot, must, , must, must, , can, , can, can, , , must, , can, , , , cannot
Open Software Licence 3.0,,can,can, , , must, can, , cannot, must, , must, , , can, , , , , , , , can, , , , cannot
Open Software License 1.0 (OSL-1.0),,can,can, , , must, can, , cannot, must, , must, , , can, , , , , , , , can, , , , cannot
Open Software License 1.1 (OSL-1.1),,can,can, , , must, can, , cannot, must, , must, , , can, , , , , , , , can, , , , cannot
Open Software License 2.0 (OSL-2.0),,can,can, , , must, can, , cannot, must, , must, , , can, , , , , , , , can, , , , cannot
Open Software License 2.1 (OSL-2.1),,can,can, , , must, can, , cannot, must, , must, , , can, , , , , , , , can, , , , cannot
OpenLDAP Public License v2.8 (OLDAP-2.8),,can,can, , , , can, , cannot, must, , must, , , can, , , , , , , , , , , , cannot
OpenSSL License (OpenSSL),,can,can, , , , can, must, cannot, must, , must, , , can, , , , , , , , , , , , cannot
Oracle Binary Code License Agreement for the Java SE Platform Products and JavaFX,, , , , , , , , , , , , , , , , , , , , , , , , , , 
PHP License 3.0 (PHP),,can,can, , , , can, , cannot, must, , must, , , can, , , , , , , , can, , , , cannot
PHP License 3.0.1,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Pokemon GO Terms of Service,, , , , , , , , , , , , , , , , , , , , , , , , , , 
PostgreSQL License (PostgreSQL),,can,can, , , , can, , cannot, must, , must, , , can, , , , , , , , , , , , 
Python License 2.0,,can,can, , , , can, , cannot, must, , must, , , can, , , , , , must, , , , , , cannot
Q Public License 1.0 (QPL-1.0),,cannot,cannot, , , must, can, , cannot, must, , must, , , can, , , , , , , , , , , , 
RealNetworks Public Source License v1.0 (RPSL-1.0),,can,can, , , must, can, , cannot, must, , must, , , can, , can, , , , must, , can, , , , cannot
Reciprocal Public License 1.5 (RPL-1.5),,can,can, , , must, can, must, cannot, must, , must, must, , can, , can, , , must, must, , can, , , , cannot
Red Hat eCos Public License v1.1 (RHeCos-1.1),,can,can, , , must, can, , cannot, , , must, , , can, , can, , , , must, , can, , , , cannot
Ricoh Source Code Public License (RSCPL),,can,can, , , must, can, , cannot, , , must, , , can, , , , , , must, , can, , , , cannot
Ruby License (Ruby),,can,can, , , must, can, , cannot, must, , , , , can, , , , , , , , can, , , , 
SGI Free Software License B v2.0 (SGI-B-2.0),,can,can, , , , can, , cannot, must, , must, , , can, , , , , , , , can, , , , cannot
SIL Open Font License v1.1 (OFL-1.1),,can,can, , , , can, , , , , must, , , can, , , , , must, , , cannot, , , , cannot
Sax Public Domain Notice (SAX-PD),,can,can, , , , can, , cannot, , , , , , can, , , , , , , , , , , , 
Simple Public License 2.0 (SimPL),,can,can, , , must, can, , can, , , must, , , can, , , , , , must, , cannot, , , , 
Sleepycat License,,can,can, , , , can, , cannot, , , must, , must, can, , , , , , , , , , , , cannot
Snapchat Terms of Service,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Sun Public License v1.0 (SPL-1.0),,can,can, , , must, can, must, cannot, must, , must, must, , can, , can, , , , must, , can, , , , cannot
Sybase Open Watcom Public License 1.0 (Watcom-1.0),,can,can, , , must, can, , cannot, must, , must, , , can, , can, can, , , must, , can, , , , cannot
TLDRLegal Terms of Service,, , , , , , , , , , , , , , , , , , , , , , , , , , 
The JSON License,,can,can, , , , can, , cannot, must, , must, , , can, , , can, , , , , can, , , , 
Universal Permissive License 1.0 (UPL-1.0),,can,can, , , , can, , cannot, must, , must, , , can, , , can, , , , , can, , , can, 
University of Illinois - NCSA Open Source License (NCSA),,can,can, , , , can, , cannot, , , must, , , can, , , , , , , , , , , , cannot
Unlicense,,can,can, , , , , , can, cannot, , , , , can, , , can, , , , , , , , , 
Unreal Engine End User License Agreement v9,,can,can, , must, cannot, can, , cannot, , , must, , , can, , , , , , , must, cannot, , , , 
Vovida Software License v1.0 (VSL-1.0),,can,can, , , , can, , cannot, must, , must, , , can, , , , , , , , , , , , cannot
W3C Software Notice and License (W3C),,can,can, , , , can, , cannot, must, , must, , , can, , , , , , must, , , , , , cannot
XFree86 License 1.1 (XFree86-1.1),,can,can, , , , can, , cannot, must, , must, must, , can, , , , , , , , can, , , , cannot
Xerox License (Xerox),,can,can, , , , can, , cannot, must, , must, , , can, , , can, , , , , can, , , , 
Yahoo! Public License v1.1 (YPL-1.1),,can,can, , , must, can, , cannot, must, , must, , , can, , , , , , , , can, , , , cannot
YouTube Terms of Service,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Zlib-Libpng License (Zlib),,can,can, , , , can, , cannot, must, , must, , , can, , , , , must, , , can, , , , 
Zope Public License 1.1 (ZPL-1.1),,can,can, , , , can, , cannot, must, , must, , , can, , , , , , must, , , , , , cannot
Zope Public License 2.0 (ZPL-2.0),,can,can, , , , can, , cannot, must, , must, , , can, , , , , , must, , , , , , cannot
curl License,,can,can, , , , can, , cannot, must, , must, , , can, , , can, , , , , can, , , , cannot
“Commons Clause” License Condition v1.0,,can,can, , , , can, , , must, , , must, , can, , , , cannot, , , , , , , , 
